ID;Kolejka;Data;Zespol1-Nazwa;Zespol1-Bramki;Zespol2-Nazwa;Zespol2-Bramki;Zespol1-Posiadanie piłki;Zespol1-Strzały;Zespol1-Strzały celne;Zespol1-Strzały niecelne;Zespol1-Strzały zablokowane;Zespol1-Ataki;Zespol1-Groźne ataki;Zespol1-Kartki;Zespol1-Faule;Zespol1-Rzuty wolne;Zespol1-Rzuty rożne;Zespol1-Spalone;Zespol2-Posiadanie piłki;Zespol2-Strzały;Zespol2-Strzały celne;Zespol2-Strzały niecelne;Zespol2-Strzały zablokowane;Zespol2-Ataki;Zespol2-Groźne ataki;Zespol2-Kartki;Zespol2-Faule;Zespol2-Rzuty wolne;Zespol2-Rzuty rożne;Zespol2-Spalone
92;19;2021-02-27 17:30:00;Jagiellonia Białystok;0;Piast Gliwice;1;42;6;2;3;1;95;60;3;15;12;3;2;58;18;5;7;6;145;108;2;10;17;5;2
93;19;2021-02-27 15:00:00;Stal Mielec;0;Lechia Gdańsk;1;0;28;10;10;8;99;76;1;13;15;15;2;100;9;2;3;4;75;24;2;14;15;2;1
94;19;2021-02-26 20:30:00;Warta Poznań;1;Lech Poznań;2;38;8;2;6;0;75;47;0;7;16;5;0;62;16;6;6;4;122;87;2;15;7;11;1
95;19;2021-02-26 18:00:00;Raków Częstochowa;1;Podbeskidzie;0;52;9;5;4;0;88;47;1;15;11;1;5;48;11;1;3;7;55;24;1;9;20;3;2
96;18;2021-02-22 18:00:00;Piast Gliwice;0;Warta Poznań;1;69;19;7;5;7;144;82;1;10;22;5;2;31;3;1;2;0;90;32;2;21;12;3;1
97;18;2021-02-21 17:30:00;Lech Poznań;1;Śląsk Wrocław;0;63;15;3;8;4;124;63;1;10;13;8;0;37;10;2;5;3;101;37;4;9;10;2;4
98;18;2021-02-21 15:00:00;Zagłębie Lubin;1;Raków Częstochowa;2;59;11;2;5;4;68;34;2;8;21;5;1;41;10;3;5;2;72;39;2;21;9;6;0
99;18;2021-02-20 20:00:00;Lechia Gdańsk;2;Górnik Zabrze;0;42;14;4;5;5;93;57;2;15;19;4;1;58;16;4;4;8;114;60;0;17;16;5;2
100;18;2021-02-20 17:30:00;Podbeskidzie;1;Jagiellonia Białystok;1;49;20;5;7;8;99;70;1;17;17;9;2;51;12;5;4;3;97;49;3;15;19;2;2
101;18;2021-02-20 15:00:00;Legia Warszawa;5;Wisła Płock;2;52;16;10;3;3;82;44;1;21;19;2;1;48;6;4;2;0;53;28;3;16;22;5;3
102;18;2021-02-19 20:30:00;Wisła Kraków;2;Pogoń Szczecin;1;40;12;7;2;3;75;43;3;11;19;5;2;60;16;4;8;4;87;59;5;15;13;6;4
103;18;2021-02-19 18:00:00;Stal Mielec;0;Cracovia;0;52;6;2;3;1;74;45;5;13;18;4;0;48;9;5;4;0;85;49;2;17;13;4;1
104;17;2021-02-15 20:30:00;Górnik Zabrze;2;Stal Mielec;1;71;24;6;11;7;150;87;4;12;13;10;1;29;7;2;2;3;86;35;2;11;13;4;2
105;17;2021-02-15 18:00:00;Warta Poznań;1;Zagłębie Lubin;0;45;13;4;7;2;75;42;1;10;19;5;0;55;9;1;6;2;88;50;0;19;10;11;0
106;17;2021-02-14 17:30:00;Jagiellonia Białystok;1;Legia Warszawa;1;39;5;3;0;2;54;21;4;17;13;1;2;61;18;5;11;2;135;69;3;12;19;7;1
107;17;2021-02-14 15:00:00;Wisła Płock;1;Lech Poznań;0;49;10;4;3;3;109;55;1;19;17;5;1;51;10;1;4;5;88;43;2;17;20;4;0
108;17;2021-02-13 20:00:00;Raków Częstochowa;0;Lechia Gdańsk;1;60;14;8;2;4;87;60;5;16;18;6;1;40;10;4;2;4;67;32;3;16;17;2;2
109;17;2021-02-13 17:30:00;Pogoń Szczecin;0;Piast Gliwice;0;51;9;5;2;2;100;65;3;10;16;8;2;49;6;2;2;2;98;56;3;14;12;1;2
110;17;2021-02-13 15:00:00;Cracovia;1;Podbeskidzie;1;58;21;7;8;6;114;71;3;15;11;6;1;42;7;3;3;1;102;46;5;11;16;3;0
111;17;2021-02-12 20:30:00;Śląsk Wrocław;1;Wisła Kraków;1;45;7;2;1;4;76;29;4;13;20;3;1;55;18;6;6;6;107;77;2;19;14;13;1
112;16;2021-03-04 20:30:00;Stal Mielec;2;Wisła Płock;2;66;16;9;4;3;96;73;1;13;13;10;3;34;5;3;1;1;68;40;1;12;16;2;1
113;16;2021-02-07 17:30:00;Wisła Kraków;2;Jagiellonia Białystok;0;50;21;10;6;5;88;59;1;9;10;8;3;50;14;7;6;1;89;36;2;9;12;3;1
114;16;2021-02-07 15:00:00;Podbeskidzie;2;Górnik Zabrze;1;57;15;5;6;4;75;36;4;14;14;8;1;43;9;5;1;3;59;22;2;14;15;5;1
115;16;2021-02-06 20:00:00;Legia Warszawa;2;Raków Częstochowa;0;51;14;10;2;2;69;31;3;19;18;2;2;49;10;2;8;0;84;46;2;17;21;3;1
116;16;2021-02-06 17:30:00;Pogoń Szczecin;1;Cracovia;0;52;13;4;6;3;74;43;3;15;12;5;5;48;4;0;3;1;61;29;1;10;20;4;2
117;16;2021-02-06 15:00:00;Piast Gliwice;2;Śląsk Wrocław;0;52;17;7;4;6;109;56;3;23;20;6;1;48;8;2;5;1;94;53;4;18;24;8;2
118;16;2021-02-05 20:30:00;Lech Poznań;0;Zagłębie Lubin;0;71;17;2;5;10;133;98;2;13;12;8;0;29;9;3;1;5;53;32;0;10;13;3;2
119;16;2021-02-05 18:00:00;Lechia Gdańsk;1;Warta Poznań;1;58;16;6;2;8;113;69;2;18;15;9;3;42;5;2;2;1;84;38;1;12;21;3;3
120;15;2021-02-01 18:00:00;Stal Mielec;0;Śląsk Wrocław;0;38;14;5;7;2;85;41;5;20;16;3;2;62;7;1;2;4;104;46;1;16;22;5;0
121;15;2021-01-31 17:30:00;Podbeskidzie;1;Legia Warszawa;0;32;9;3;3;3;57;26;2;14;8;2;3;68;15;4;7;4;100;63;0;8;17;7;0
122;15;2021-01-31 15:00:00;Wisła Kraków;3;Piast Gliwice;4;58;16;6;6;4;97;52;4;11;14;2;3;42;15;9;5;1;75;30;3;13;13;0;1
123;15;2021-01-30 20:00:00;Górnik Zabrze;1;Lech Poznań;1;37;9;2;5;2;97;59;2;9;9;8;2;63;9;4;1;4;88;52;1;8;11;3;1
124;15;2021-01-30 17:30:00;Lechia Gdańsk;0;Jagiellonia Białystok;2;58;12;2;10;0;128;54;7;15;21;5;1;42;13;7;6;0;109;40;2;21;16;4;0
125;15;2021-01-30 15:00:00;Warta Poznań;1;Cracovia;0;39;8;4;2;2;59;36;2;10;21;2;2;61;6;2;3;1;78;53;4;20;12;7;1
126;15;2021-01-29 20:30:00;Raków Częstochowa;0;Pogoń Szczecin;1;46;8;1;2;5;76;50;5;11;18;8;2;54;8;3;4;1;69;25;2;17;13;0;1
127;15;2021-01-29 18:00:00;Zagłębie Lubin;0;Wisła Płock;2;42;6;2;2;2;78;32;5;15;17;4;3;58;13;5;5;3;84;46;2;12;18;0;5
128;14;2020-12-20 17:30:00;Jagiellonia Białystok;1;Górnik Zabrze;0;44;11;8;1;2;63;40;3;16;21;6;8;56;10;4;5;1;99;65;1;18;24;5;3
129;14;2020-12-20 15:00:00;Piast Gliwice;0;Raków Częstochowa;0;55;11;2;3;6;114;30;1;14;21;2;1;45;11;0;7;4;109;52;2;18;15;3;3
130;14;2020-12-19 20:00:00;Lech Poznań;0;Wisła Kraków;1;61;30;12;6;12;112;86;1;9;17;14;0;39;8;4;4;0;75;49;1;14;9;4;3
131;14;2020-12-19 17:30:00;Cracovia;0;Lechia Gdańsk;3;61;11;1;6;4;75;46;4;16;25;6;1;39;11;7;3;1;65;43;5;21;17;3;4
132;14;2020-12-19 15:00:00;Pogoń Szczecin;1;Zagłębie Lubin;0;67;14;7;3;4;128;95;4;16;13;7;5;33;6;2;1;3;70;27;4;8;21;1;5
133;14;2020-12-18 20:30:00;Legia Warszawa;2;Stal Mielec;3;74;17;8;9;0;111;63;3;18;21;8;0;26;8;7;1;0;34;17;3;19;18;0;2
134;14;2020-12-18 18:00:00;Wisła Płock;4;Podbeskidzie;1;67;13;8;4;1;100;63;2;11;23;5;1;33;1;1;0;0;53;19;7;21;12;0;2
135;14;2020-12-17 18:00:00;Śląsk Wrocław;2;Warta Poznań;1;55;15;5;8;2;89;52;2;21;18;5;1;45;19;7;9;3;81;44;1;16;22;4;2
136;13;2020-12-14 18:00:00;Lechia Gdańsk;0;Wisła Płock;1;48;11;3;5;3;119;61;3;21;16;3;0;52;12;5;3;4;107;52;1;15;21;4;1
137;13;2020-12-13 17:30:00;Raków Częstochowa;3;Jagiellonia Białystok;2;49;16;4;12;0;75;57;4;20;25;4;3;51;12;5;7;0;58;34;3;25;23;8;0
